Entry Date,Close Date,Symbol,Direction,Qty,Entry Price,Exit Price,Gross P&L,Net P&L
2023-09-27,2023-10-26,TATAPOWER,BUY,63,257.14,232.55,-1549.21,-1555.38
2024-02-15,2024-03-11,TATAPOWER,BUY,27,372.72,409.68,997.93,993.7
2024-03-19,2024-04-10,TATAPOWER,BUY,25,388.06,427.49,985.85,981.78
2024-05-15,2024-08-02,TATAPOWER,BUY,29,429.27,457.61,821.66,816.51
2024-10-09,2024-11-14,TATAPOWER,BUY,27,457.26,399.6,-1556.84,-1561.46
2024-11-29,2024-12-23,TATAPOWER,SELL,29,412.07,421.67,278.21,273.49
2025-02-04,2025-02-17,TATAPOWER,SELL,32,356.9,378.67,696.7,692.27
2025-02-25,2025-05-15,TATAPOWER,SELL,33,352.53,304.41,-1587.85,-1592.83
2025-05-26,2025-10-30,TATAPOWER,BUY,33,399.9,411.05,368.07,362.71
2025-12-26,2026-01-12,TATAPOWER,SELL,67,378.9,393.0,944.7,934.73
2026-03-27,2026-04-15,TATAPOWER,BUY,31,390.0,415.0,775.0,770.01
